algorithm;class;metric;mse;C;n;value_fact;value_theory;is_steps
Сумма элементов;O(n);seconds;4.1445039639555247E-16;2.8343357014453482E-09;1250;3.535932E-06;3.542919626806685E-06;0
Сумма элементов;O(n);seconds;4.1445039639555247E-16;2.8343357014453482E-09;1300;3.7010019999999994E-06;3.684636411878953E-06;0
Сумма элементов;O(n);seconds;4.1445039639555247E-16;2.8343357014453482E-09;1350;3.861173333333333E-06;3.82635319695122E-06;0
Сумма элементов;O(n);seconds;4.1445039639555247E-16;2.8343357014453482E-09;1400;3.960774E-06;3.968069982023487E-06;0
Сумма элементов;O(n);seconds;4.1445039639555247E-16;2.8343357014453482E-09;1450;4.1157179999999995E-06;4.1097867670957545E-06;0
Сумма элементов;O(n);seconds;4.1445039639555247E-16;2.8343357014453482E-09;1500;4.239236666666666E-06;4.251503552168023E-06;0
Сумма элементов;O(n);seconds;4.1445039639555247E-16;2.8343357014453482E-09;1550;4.380684000000001E-06;4.39322033724029E-06;0
Сумма элементов;O(n);seconds;4.1445039639555247E-16;2.8343357014453482E-09;1600;4.5246425E-06;4.534937122312557E-06;0
Сумма элементов;O(n);seconds;4.1445039639555247E-16;2.8343357014453482E-09;1650;4.7813860000000005E-06;4.676653907384824E-06;0
Сумма элементов;O(n);seconds;4.1445039639555247E-16;2.8343357014453482E-09;1700;4.817103999999999E-06;4.818370692457092E-06;0
Сумма элементов;O(n);seconds;4.1445039639555247E-16;2.8343357014453482E-09;1750;4.943795999999999E-06;4.9600874775293595E-06;0
Сумма элементов;O(n);seconds;4.1445039639555247E-16;2.8343357014453482E-09;1800;5.089214E-06;5.101804262601627E-06;0
Сумма элементов;O(n);seconds;4.1445039639555247E-16;2.8343357014453482E-09;1850;5.22474E-06;5.243521047673894E-06;0
Сумма элементов;O(n);seconds;4.1445039639555247E-16;2.8343357014453482E-09;1900;5.370518E-06;5.385237832746161E-06;0
Сумма элементов;O(n);seconds;4.1445039639555247E-16;2.8343357014453482E-09;1950;5.507768E-06;5.526954617818429E-06;0
Сумма элементов;O(n);seconds;4.1445039639555247E-16;2.8343357014453482E-09;2000;5.6515299999999996E-06;5.6686714028906965E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;50;1.56072E-07;1.4417513952875638E-07;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;100;2.9676666666666666E-07;2.8835027905751276E-07;0
