algorithm;class;metric;mse;C;n;value_fact;value_theory;is_steps
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;1700;0.004843;0.00481028765459982;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;1750;0.00487822;0.00509740690041936;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;1800;0.00518644;0.005392848443219176;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;1850;0.00585935;0.005696612282999268;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;1900;0.00622824;0.0060086984197596375;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;1950;0.006257675;0.006329106853500283;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;2000;0.006257675;0.006657837584221205;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;50;7.439999999999999E-06;2.3724106811245016E-06;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;100;7.439999999999999E-06;5.5855269370730845E-06;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;150;1.166E-05;9.115962258738592E-06;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;200;1.478E-05;1.2852465023794326E-05;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;250;2.056E-05;1.674219813990366E-05;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;300;2.4080000000000003E-05;2.075404124194943E-05;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;350;2.8800000000000002E-05;2.4867431035064284E-05;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;400;3.542E-05;2.9067752346884978E-05;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;450;3.5879999999999995E-05;3.334407742231104E-05;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;500;4.094E-05;3.768792415392773E-05;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;550;4.463333333333333E-05;4.209251645368039E-05;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;600;4.96E-05;4.655231593284334E-05;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;650;5.2799999999999996E-05;5.1062710806839346E-05;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;700;5.8875E-05;5.5619801093897134E-05;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;750;5.892E-05;6.0220245496536426E-05;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;800;7.043333333333333E-05;6.48611492923626E-05;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;850;7.515999999999999E-05;6.953998035808273E-05;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;900;7.705E-05;7.42545050180388E-05;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;950;8.104E-05;7.900273819037138E-05;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;1000;8.672500000000001E-05;8.378290405609627E-05;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;1050;9.172E-05;8.859340461274847E-05;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;1100;9.644E-05;9.343279423042566E-05;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;1150;9.955E-05;9.829975884283495E-05;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;1200;0.00010676000000000001;0.00010319309876357563;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;1250;0.0001104;0.00010811171437092406;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;1300;0.0001155;0.00011305459408639174;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;1350;0.000120825;0.0001180208042052189;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;1400;0.00012314;0.0001230094802353314;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;1450;0.00012314;0.00012801981947501172;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;1500;0.00012984;0.00013305107461543405;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;1550;0.00013086;0.00013810254819704416;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;1600;0.00013665999999999998;0.0001431735877819105;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;1650;0.0001465;0.00014826358173005712;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;1700;0.0001516;0.00015337195548817482;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;1750;0.00016242;0.0001584981683152895;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;1800;0.000170325;0.00016364171038291107;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;1850;0.000170325;0.0001688021001976076;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;1900;0.000167325;0.00017397888230240028;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;1950;0.000167325;0.00017917162522026417;0
Быстрая сортировка (Quick sort);O(n·log n);seconds;1.7283799118485832E-11;8.407055748240803E-09;2000;0.00018658;0.00018437991960867413;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;50;9.94E-06;2.883680878327368E-06;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;100;9.94E-06;6.789244944802545E-06;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;150;1.6E-05;1.108051243497959E-05;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;200;1.996E-05;1.5622256265900702E-05;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;250;2.416E-05;2.03502526022705E-05;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;300;2.724E-05;2.5226674434402608E-05;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;350;3.398E-05;3.0226526941342907E-05;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;400;3.696666666666667E-05;3.533204528439264E-05;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;450;4.4025000000000006E-05;4.052994670493123E-05;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;500;4.808E-05;4.580992114528005E-05;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;550;5.8125E-05;5.116373222557933E-05;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;600;5.987999999999999E-05;5.658464799769207E-05;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;650;6.934000000000001E-05;6.206706280695396E-05;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;700;7.314E-05;6.760623619972047E-05;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;750;7.394E-05;7.319810680679893E-05;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;800;7.97E-05;7.883915607396775E-05;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;850;8.32E-05;8.452630618861232E-05;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;900;9.879999999999999E-05;9.025684210319274E-05;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;950;0.00010026666666666666;9.602835093757595E-05;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;1000;0.00010204;0.00010183867417203818;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;1050;0.00010350000000000001;0.00010768586942401113;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;1100;0.00011356;0.00011356817952078454;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;1150;0.00011898;0.00011948400720608575;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;1200;0.00012683999999999997;0.00012543189425315784;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;1250;0.00013032499999999998;0.0001314105040645208;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;1300;0.000138625;0.00013741860705982943;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;1350;0.00014069999999999998;0.00014345506831477106;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;1400;0.0001419;0.00014951883703351025;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;1450;0.000148125;0.00015560893752679885;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;1500;0.0001578;0.00016172446143581499;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;1550;0.00016554999999999999;0.00016786456099385626;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;1600;0.00017462000000000003;0.00017402844315830046;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;1650;0.00018272;0.00018021536447671032;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;1700;0.00018292;0.0001864246265757374;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;1750;0.0001938;0.00019265557218115016;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;1800;0.00020080000000000003;0.00019890758159304603;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;1850;0.00020723333333333332;0.00020518006955297307;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;1900;0.00021312000000000002;0.00021147248244996026;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;1950;0.00021982;0.0002177842958208292;0
Гибридный Timsort;O(n·log n);seconds;1.526062031481732E-11;1.021883188147808E-08;2000;0.00021982;0.00022411501210703252;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;50;1.622E-05;1.688026575901129E-06;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;100;1.622E-05;3.974235146219273E-06;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;150;2.1419999999999998E-05;6.486223772339728E-06;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;200;2.8650000000000002E-05;9.144834281272575E-06;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;250;4.1740000000000004E-05;1.1912471826237201E-05;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;300;4.64E-05;1.4766993527930503E-05;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;350;5.756E-05;1.7693768113402847E-05;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;400;6.154E-05;2.0682396540213212E-05;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;450;7.175000000000001E-05;2.3725103450928207E-05;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;500;8.502E-05;2.681585362455948E-05;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;550;8.787500000000001E-05;2.9949825713433992E-05;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;600;8.896666666666666E-05;3.31230790223631E-05;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;650;9.34E-05;3.6332332157028916E-05;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;700;9.735E-05;3.95748101877248E-05;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;750;0.0001118;4.2848135701893306E-05;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;800;0.0001123;4.615024903576254E-05;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;850;0.00011965;4.947934852343801E-05;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;900;0.00011965;5.283384485160955E-05;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;950;0.0001161;5.62123255873621E-05;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;1000;6.398E-05;5.9613527193289105E-05;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;1050;5.5599999999999996E-05;6.303631265266293E-05;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;1100;6.398E-05;6.647965336545515E-05;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;1150;6.126666666666666E-05;6.994261434227183E-05;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;1200;6.764E-05;7.342434197773036E-05;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;1250;7.377999999999999E-05;7.692405386484378E-05;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;1300;7.377999999999999E-05;8.044103024147904E-05;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;1350;7.213333333333333E-05;8.397460675451168E-05;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;1400;7.213333333333333E-05;8.75241682972878E-05;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;1450;7.6275E-05;9.108914372846055E-05;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;1500;7.81E-05;9.466900132004184E-05;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;1550;7.81E-05;9.826324481298488E-05;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;1600;8.3775E-05;0.00010187140998219734;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;1650;9.664E-05;0.00010549306163130173;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;1700;9.454E-05;0.00010912779095196527;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;1750;9.664E-05;0.00011277521319413512;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;1800;9.454E-05;0.00011643496560272537;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;1850;0.00010549999999999999;0.00012010670558371735;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;1900;9.910000000000001E-05;0.00012379010906864748;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;1950;0.00010320000000000001;0.00012748486905135917;0
Сортировка по Z-кривой Мортона;O(n·log n);seconds;1.30142645628953E-09;5.9818199441701476E-09;2000;0.00010320000000000001;0.0001311906942749185;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;50;8.16666E-06;3.7334731339732012E-06;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;100;1.13656625E-05;7.4669462679464025E-06;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;150;1.4395209999999998E-05;1.1200419401919604E-05;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;200;1.8737912000000002E-05;1.4933892535892805E-05;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;250;2.2223086E-05;1.8667365669866006E-05;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;300;2.5085894999999996E-05;2.2400838803839208E-05;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;350;2.84019075E-05;2.6134311937812407E-05;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;400;3.15032625E-05;2.986778507178561E-05;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;450;3.507133333333333E-05;3.360125820575881E-05;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;500;4.0817198E-05;3.733473133973201E-05;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;550;4.4896244E-05;4.1068204473705214E-05;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;600;4.700676E-05;4.4801677607678416E-05;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;650;5.0705710000000006E-05;4.853515074165161E-05;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;700;5.3721827999999994E-05;5.2268623875624815E-05;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;750;5.850071599999999E-05;5.600209700959802E-05;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;800;6.1116614E-05;5.973557014357122E-05;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;850;6.124899E-05;6.346904327754442E-05;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;900;6.462639999999999E-05;6.720251641151762E-05;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;950;7.3510016E-05;7.093598954549082E-05;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;1000;7.889333199999999E-05;7.466946267946402E-05;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;1050;8.232526200000002E-05;7.840293581343723E-05;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;1100;8.740205600000001E-05;8.213640894741043E-05;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;1150;8.984393E-05;8.586988208138363E-05;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;1200;9.3382202E-05;8.960335521535683E-05;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;1250;9.299319000000001E-05;9.333682834933002E-05;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;1300;9.6548736E-05;9.707030148330322E-05;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;1350;9.888842799999999E-05;0.00010080377461727643;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;1400;0.000101805482;0.00010453724775124963;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;1450;0.00010109164333333333;0.00010827072088522283;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;1500;0.000104406588;0.00011200419401919603;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;1550;0.00012002890799999999;0.00011573766715316924;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;1600;0.00011669342799999999;0.00011947114028714244;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;1650;0.00012177640399999999;0.00012320461342111563;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;1700;0.00012263901599999998;0.00012693808655508883;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;1750;0.00013568458599999997;0.00013067155968906203;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;1800;0.000137276646;0.00013440503282303524;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;1850;0.000140107772;0.00013813850595700844;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;1900;0.00013935324200000003;0.00014187197909098164;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;1950;0.000145344566;0.00014560545222495484;0
Поразрядная сортировка (Radix sort);O(n);seconds;1.2499711413065712E-11;7.466946267946402E-08;2000;0.00014272900000000002;0.00014933892535892805;0
Степень (простой, рис. 1);O(n);steps;0;1;50;50;50;1
Степень (простой, рис. 1);O(n);steps;0;1;100;100;100;1
Степень (простой, рис. 1);O(n);steps;0;1;150;150;150;1
Степень (простой, рис. 1);O(n);steps;0;1;200;200;200;1
Степень (простой, рис. 1);O(n);steps;0;1;250;250;250;1
Степень (простой, рис. 1);O(n);steps;0;1;300;300;300;1
Степень (простой, рис. 1);O(n);steps;0;1;350;350;350;1
Степень (простой, рис. 1);O(n);steps;0;1;400;400;400;1
Степень (простой, рис. 1);O(n);steps;0;1;450;450;450;1
Степень (простой, рис. 1);O(n);steps;0;1;500;500;500;1
Степень (простой, рис. 1);O(n);steps;0;1;550;550;550;1
Степень (простой, рис. 1);O(n);steps;0;1;600;600;600;1
Степень (простой, рис. 1);O(n);steps;0;1;650;650;650;1
Степень (простой, рис. 1);O(n);steps;0;1;700;700;700;1
Степень (простой, рис. 1);O(n);steps;0;1;750;750;750;1
Степень (простой, рис. 1);O(n);steps;0;1;800;800;800;1
Степень (простой, рис. 1);O(n);steps;0;1;850;850;850;1
Степень (простой, рис. 1);O(n);steps;0;1;900;900;900;1
Степень (простой, рис. 1);O(n);steps;0;1;950;950;950;1
Степень (простой, рис. 1);O(n);steps;0;1;1000;1000;1000;1
Степень (простой, рис. 1);O(n);steps;0;1;1050;1050;1050;1
Степень (простой, рис. 1);O(n);steps;0;1;1100;1100;1100;1
Степень (простой, рис. 1);O(n);steps;0;1;1150;1150;1150;1
Степень (простой, рис. 1);O(n);steps;0;1;1200;1200;1200;1
Степень (простой, рис. 1);O(n);steps;0;1;1250;1250;1250;1
Степень (простой, рис. 1);O(n);steps;0;1;1300;1300;1300;1
Степень (простой, рис. 1);O(n);steps;0;1;1350;1350;1350;1
Степень (простой, рис. 1);O(n);steps;0;1;1400;1400;1400;1
Степень (простой, рис. 1);O(n);steps;0;1;1450;1450;1450;1
Степень (простой, рис. 1);O(n);steps;0;1;1500;1500;1500;1
Степень (простой, рис. 1);O(n);steps;0;1;1550;1550;1550;1
Степень (простой, рис. 1);O(n);steps;0;1;1600;1600;1600;1
Степень (простой, рис. 1);O(n);steps;0;1;1650;1650;1650;1
Степень (простой, рис. 1);O(n);steps;0;1;1700;1700;1700;1
Степень (простой, рис. 1);O(n);steps;0;1;1750;1750;1750;1
Степень (простой, рис. 1);O(n);steps;0;1;1800;1800;1800;1
Степень (простой, рис. 1);O(n);steps;0;1;1850;1850;1850;1
Степень (простой, рис. 1);O(n);steps;0;1;1900;1900;1900;1
Степень (простой, рис. 1);O(n);steps;0;1;1950;1950;1950;1
Степень (простой, рис. 1);O(n);steps;0;1;2000;2000;2000;1
Степень (рекурсивный RecPow, рис. 2);O(log n);steps;1.3917140976990359;1.5688006471655072;50;9;8.85408524302764;1
Степень (рекурсивный RecPow, рис. 2);O(log n);steps;1.3917140976990359;1.5688006471655072;100;10;10.42288589019315;1
Степень (рекурсивный RecPow, рис. 2);O(log n);steps;1.3917140976990359;1.5688006471655072;150;12;11.340575439892051;1
Степень (рекурсивный RecPow, рис. 2);O(log n);steps;1.3917140976990359;1.5688006471655072;200;11;11.991686537358655;1
Степень (рекурсивный RecPow, рис. 2);O(log n);steps;1.3917140976990359;1.5688006471655072;250;14;12.496727540958709;1
Степень (рекурсивный RecPow, рис. 2);O(log n);steps;1.3917140976990359;1.5688006471655072;300;13;12.90937608705756;1
Степень (рекурсивный RecPow, рис. 2);O(log n);steps;1.3917140976990359;1.5688006471655072;350;15;13.258265461574883;1
Степень (рекурсивный RecPow, рис. 2);O(log n);steps;1.3917140976990359;1.5688006471655072;400;12;13.560487184524163;1
Степень (рекурсивный RecPow, рис. 2);O(log n);steps;1.3917140976990359;1.5688006471655072;450;13;13.827065636756464;1
Степень (рекурсивный RecPow, рис. 2);O(log n);steps;1.3917140976990359;1.5688006471655072;500;15;14.065528188124215;1
Степень (рекурсивный RecPow, рис. 2);O(log n);steps;1.3917140976990359;1.5688006471655072;550;14;14.28124380517065;1
